"old_res.SubjectID"	"old_res.exp_sample_acc"
"1"	"SUB113453"	"ES740442"
"2"	"SUB113454"	"ES740445"
"3"	"SUB113455"	"ES740448"
"4"	"SUB113456"	"ES740451"
"5"	"SUB113457"	"ES740454"
"6"	"SUB113459"	"ES740460"
"7"	"SUB113460"	"ES740463"
"8"	"SUB113461"	"ES740466"
"9"	"SUB113462"	"ES740469"
"10"	"SUB113464"	"ES740475"
"11"	"SUB113465"	"ES740478"
"12"	"SUB113466"	"ES740481"
"13"	"SUB113467"	"ES740484"
"14"	"SUB113468"	"ES740487"
"15"	"SUB113469"	"ES740490"
"16"	"SUB113471"	"ES740496"
"17"	"SUB113472"	"ES740499"
"18"	"SUB113475"	"ES740508"
"19"	"SUB113477"	"ES740514"
"20"	"SUB113478"	"ES740517"
"21"	"SUB113479"	"ES740520"
"22"	"SUB113480"	"ES740523"
"23"	"SUB113481"	"ES740526"
"24"	"SUB113482"	"ES740529"
"25"	"SUB113484"	"ES740535"
"26"	"SUB113485"	"ES740538"
"27"	"SUB113486"	"ES740541"
"28"	"SUB113488"	"ES740547"
"29"	"SUB113489"	"ES740550"
"30"	"SUB113491"	"ES740556"
"31"	"SUB113492"	"ES740559"
"32"	"SUB113493"	"ES740562"
"33"	"SUB113497"	"ES740574"
"34"	"SUB113499"	"ES740580"
"35"	"SUB113500"	"ES740583"
"36"	"SUB113501"	"ES740586"
"37"	"SUB113502"	"ES740589"
"38"	"SUB113503"	"ES740592"
"39"	"SUB113506"	"ES740601"
"40"	"SUB113507"	"ES740604"
"41"	"SUB113508"	"ES740607"
"42"	"SUB113509"	"ES740610"
"43"	"SUB113510"	"ES740613"
"44"	"SUB113511"	"ES740616"
"45"	"SUB113512"	"ES740619"
"46"	"SUB113515"	"ES740628"
"47"	"SUB113516"	"ES740631"
"48"	"SUB113517"	"ES740634"
"49"	"SUB113518"	"ES740637"
"50"	"SUB113519"	"ES740640"
"51"	"SUB113520"	"ES740643"
"52"	"SUB113521"	"ES740646"
"53"	"SUB113522"	"ES740649"
"54"	"SUB113523"	"ES740652"
"55"	"SUB113525"	"ES740658"
"56"	"SUB113528"	"ES740667"
"57"	"SUB113529"	"ES740670"
"58"	"SUB113530"	"ES740673"
"59"	"SUB113531"	"ES740676"
"60"	"SUB113533"	"ES740682"
"61"	"SUB113534"	"ES740685"
"62"	"SUB113536"	"ES740691"
"63"	"SUB113538"	"ES740697"
"64"	"SUB113539"	"ES740700"
"65"	"SUB113540"	"ES740703"
"66"	"SUB113541"	"ES740706"
"67"	"SUB113542"	"ES740709"
"68"	"SUB113543"	"ES740712"
"69"	"SUB113544"	"ES740715"
"70"	"SUB113546"	"ES740721"
"71"	"SUB113547"	"ES740724"
"72"	"SUB113549"	"ES740730"
"73"	"SUB113550"	"ES740733"
"74"	"SUB113551"	"ES740736"
"75"	"SUB113552"	"ES740739"
"76"	"SUB113553"	"ES740742"
"77"	"SUB113554"	"ES740745"
"78"	"SUB113556"	"ES740751"
"79"	"SUB113557"	"ES740754"
"80"	"SUB113560"	"ES740763"
"81"	"SUB113562"	"ES740769"
"82"	"SUB113563"	"ES740772"
"83"	"SUB113564"	"ES740775"
"84"	"SUB113565"	"ES740778"
"85"	"SUB113569"	"ES740790"
"86"	"SUB113570"	"ES740793"
"87"	"SUB113573"	"ES740802"
"88"	"SUB113574"	"ES740805"
"89"	"SUB113575"	"ES740808"
"90"	"SUB113576"	"ES740811"
"91"	"SUB113577"	"ES740814"
"92"	"SUB113578"	"ES740817"
"93"	"SUB113579"	"ES740820"
"94"	"SUB113580"	"ES740823"
"95"	"SUB113581"	"ES740826"
"96"	"SUB113584"	"ES740835"
"97"	"SUB113585"	"ES740838"
"98"	"SUB113586"	"ES740841"
"99"	"SUB113587"	"ES740844"
"100"	"SUB113589"	"ES740850"
"101"	"SUB113590"	"ES740853"
"102"	"SUB113591"	"ES740856"
"103"	"SUB113592"	"ES740859"
"104"	"SUB113593"	"ES740862"
"105"	"SUB113594"	"ES740865"
"106"	"SUB113596"	"ES740871"
"107"	"SUB113597"	"ES740874"
"108"	"SUB113598"	"ES740877"
"109"	"SUB113599"	"ES740880"
"110"	"SUB113600"	"ES740883"
"111"	"SUB113601"	"ES740886"
"112"	"SUB113602"	"ES740889"
"113"	"SUB113603"	"ES740892"
"114"	"SUB113604"	"ES740895"
"115"	"SUB113605"	"ES740898"
"116"	"SUB113606"	"ES740901"
"117"	"SUB113607"	"ES740904"
"118"	"SUB113608"	"ES740907"
"119"	"SUB113609"	"ES740910"
"120"	"SUB113611"	"ES740916"
