"BioSampleID"	"Sub_ID"	"final_id"
"2"	"BS694728"	"SUB134318.212"	"SUB134318_d0"
"4"	"BS694729"	"SUB134319.212"	"SUB134319_d0"
"6"	"BS694723"	"SUB134313.212"	"SUB134313_d0"
"8"	"BS694724"	"SUB134314.212"	"SUB134314_d0"
"10"	"BS694648"	"SUB134236.212"	"SUB134236_d0"
"12"	"BS694703"	"SUB134293.212"	"SUB134293_d0"
"14"	"BS694649"	"SUB134237.212"	"SUB134237_d0"
"16"	"BS694653"	"SUB134241.212"	"SUB134241_d0"
"18"	"BS694664"	"SUB134253.212"	"SUB134253_d0"
"20"	"BS694687"	"SUB134277.212"	"SUB134277_d0"
"22"	"BS694721"	"SUB134311.212"	"SUB134311_d0"
"24"	"BS694660"	"SUB134249.212"	"SUB134249_d0"
"26"	"BS694661"	"SUB134250.212"	"SUB134250_d0"
"28"	"BS694662"	"SUB134251.212"	"SUB134251_d0"
"30"	"BS694685"	"SUB134275.212"	"SUB134275_d0"
"32"	"BS694663"	"SUB134252.212"	"SUB134252_d0"
"34"	"BS694734"	"SUB134324.212"	"SUB134324_d0"
"36"	"BS694712"	"SUB134302.212"	"SUB134302_d0"
"38"	"BS694736"	"SUB134326.212"	"SUB134326_d0"
"40"	"BS694713"	"SUB134303.212"	"SUB134303_d0"
"42"	"BS694737"	"SUB134242.212"	"SUB134242_d0"
"44"	"BS694714"	"SUB134304.212"	"SUB134304_d0"
"46"	"BS694731"	"SUB134321.212"	"SUB134321_d0"
"48"	"BS694730"	"SUB134320.212"	"SUB134320_d0"
"50"	"BS694733"	"SUB134323.212"	"SUB134323_d0"
"52"	"BS694732"	"SUB134322.212"	"SUB134322_d0"
"54"	"BS694716"	"SUB134306.212"	"SUB134306_d0"
"56"	"BS694678"	"SUB134268.212"	"SUB134268_d0"
"58"	"BS694719"	"SUB134309.212"	"SUB134309_d0"
"60"	"BS694717"	"SUB134307.212"	"SUB134307_d0"
"62"	"BS694675"	"SUB134264.212"	"SUB134264_d0"
