GENE_SYMBOL	EXPRESSION_VALUE
WWP2	13354
C17orf106-CDK3	1003
TBX4	0
STK3	999
MMP1	29
KIF25	0
CDCA2	60
GOLGA8E	2
LIM2	224
ODC1	17226
LOC100505782	0
RFESD	155
GRM3	4
BEX2	1353
ARL2	951
C8orf84	37
CREB3L4	544
ASCC3	6556
FAM104A	5687
FEZF2	1
LOC100505978	4
LOC100630917	23
CXorf27	0
ESRRG	0
SLC9A3	88
USP18	212
SNORD114-27	0
IL12B	0
MIR3074	1
MIR3129	0
LOC390705	0
DEFB118	0
TRIM15	145
IL4	2
OTUB1	9541
ZNF767	1062
MTCP1	174
TCOF1	8988
ZNF639	7197
MYL10	0
NFIL3	11686
OTOS	0
TIMP4	2
AGBL4	3
PISD	5082
PRSS56	0
KRT16P2	0
SCNN1D	139
UBE2V2	3496
TMEM235	0
REG4	164
DUS3L	2620
RASGRP1	16723
MIR1233-1	0
LRRC69	40
NXF4	0
XIST	9836
CCDC137	2532
BTBD16	0
MIR378F	0
TNC	4
GPR124	1810
GINS4	362
ALOX5AP	7304
VPS29	6226
GOLGA6L9	1
TNFSF11	75
TAF8	4607
NTRK1	17
OR9G1	0
HELLS	197
SLC7A5P1	90
FBXL19	3272
MIR4763	0
TYW1	1779
RHOT1	5870
CCR9	239
TEX12	26
MIR3591	0
DNAJB14	2332
NBPF4	0
SF3B1	40596
CYYR1	99
PKDCC	8
SSFA2	10458
DIP2B	10931
ZNF747	1531
ANXA9	630
ADIG	0
KRTAP15-1	0
ZNF404	221
FBXL21	0
C6orf176	0
IL17RB	290
PUS1	3218
HEG1	6945
HIST1H2AK	43
RAB3IL1	29
GAGE12C	0
FGL2	88687
UBA6	3823
FGF22	4
INPP1	823
MIR3684	0
STXBP3	8476
IL17RA	35960
DCP2	8502
CDV3	40514
AP1B1	17950
CLVS1	9
BASP1P1	5
SNORA17	0
ETF1	8122
C10orf28	3531
ACSF2	1681
ABCB1	2412
BBIP1	1122
CLRN1-AS1	0
MEIS2	6
CCDC68	27
SHB	181
ULK1	5497
MIR30A	0
SNTN	2
B3GALNT2	2118
MIR766	1
SLC7A7	32127
PLXNB2	43693
AUTS2	3127
ANXA2	15730
ZFAND2B	4475
COMMD3	1326
MIR4701	0
LRRC52	0
PGP	3315
NTSR2	0
NCRNA00284	0
ESR1	228
ZNF711	440
MIR1297	0
FABP9	0
LOC645591	0
PPP1R16B	19329
C20orf195	23
MIR892A	0
CYC1	8998
GPR6	0
CARD6	1344
LOC643486	0
C4orf51	0
LOC100499227	0
PATL1	9140
BTBD6	4368
INTS4	1724
CTHRC1	4
IL1RL2	1
AKAP4	0
HERC4	4446
ACADM	5105
EPHA10	2
C14orf128	97
CD8B	6957
RNF217	283
IL10RA	94260
VENTXP7	26
DDX25	1
TMEM206	2155
ARMC6	3715
BLK	2714
MRPL43	4238
