	Pvalue	FDR	pathwayActivity
targets of FOSL1/2 (M0)	0.710232054670555	0.86210709723463	0.0168883175548934
integrin cell surface interactions (I) (M1.0)	0.393117650690017	0.690692728737625	0.0205385713435189
integrin cell surface interactions (II) (M1.1)	0.622401295437188	0.847837985123098	0.0139535703019706
extracellular matrix (I) (M2.0)	0.165749586698563	0.586957402000585	-0.0146596209491002
extracellular matrix (II) (M2.1)	0.536589245750549	0.800258099265905	-0.031479672411633
extracellular matrix (III) (M2.2)	0.14895349091444	0.586957402000585	-0.0139574029328543
regulation of signal transduction (M3)	0.0829397190716665	0.53650354829081	-0.0486665261266776
cell cycle and transcription (M4.0)	0.117560799759301	0.53650354829081	-0.042106654759669
cell cycle (I) (M4.1)	0.104284241040214	0.53650354829081	0.0203865242743816
PLK1 signaling events (M4.2)	0.174538133367176	0.586957402000585	0.0206905511991925
myeloid cell enriched receptors and transporters (M4.3)	0.021129406587838	0.488915277420699	-0.122845806936472
mitotic cell cycle - DNA replication (M4.4)	0.119796861966504	0.53650354829081	0.0300209798998072
mitotic cell cycle in stimulated CD4 T cells (M4.5)	0.605493011132908	0.84435148701172	0.018155385504433
cell division in stimulated CD4 T cells (M4.6)	0.0838668027353003	0.53650354829081	0.0305810187058497
mitotic cell cycle (M4.7)	0.24588120899523	0.602562903593325	0.0131628219117524
cell division - E2F transcription network (M4.8)	0.239981253449813	0.602562903593325	0.0258758399282352
mitotic cell cycle in stimulated CD4 T cells (M4.9)	0.258333957301226	0.602562903593325	0.0206688928910504
cell cycle (II) (M4.10)	0.689688358385019	0.85711183301222	0.00876908111684598
mitotic cell cycle in stimulated CD4 T cells (M4.11)	0.26494736598497	0.602562903593325	0.0163425726414538
C-MYC transcriptional network (M4.12)	0.698570915923255	0.85711183301222	0.00781817843598614
cell junction (GO) (M4.13)	0.0258010509641196	0.488915277420699	-0.139631912547895
Rho GTPase cycle (M4.14)	0.397248130112102	0.690692728737625	0.0235342423509503
enriched in monocytes (I) (M4.15)	0.0477112313574393	0.488915277420699	-0.0886680193258887
regulation of antigen presentation and immune response (M5.0)	0.0366573068652178	0.488915277420699	-0.0412541807013831
T cell activation and signaling (M5.1)	0.241043401555797	0.602562903593325	-0.050477191845076
mitotic cell division (M6)	0.0519585731522778	0.488915277420699	0.0255783115607137
enriched in T cells (I) (M7.0)	0.785610754263785	0.882536756413213	0.0197982390543651
T cell activation (I) (M7.1)	0.531867002763281	0.796649276866213	0.0339723579357564
enriched in NK cells (I) (M7.2)	0.838784852077694	0.923466320466339	0.0296127957146368
T cell activation (II) (M7.3)	0.823619579912082	0.910454871084921	-0.00352367563356732
T cell activation (III) (M7.4)	0.172397561775816	0.586957402000585	0.113978479188505
E2F transcription factor network (M8)	0.0455102542603026	0.488915277420699	0.0364330215354041
B cell development (M9)	0.25587763960995	0.602562903593325	-0.0246016593791222
E2F1 targets (Q3) (M10.0)	0.0976264558420415	0.53650354829081	0.0327560044419221
E2F1 targets (Q4) (M10.1)	0.10117923065204	0.53650354829081	0.0407775684566786
enriched in monocytes (II) (M11.0)	0.0305006747771124	0.488915277420699	-0.122280180348475
blood coagulation (M11.1)	0.0279495620916701	0.488915277420699	-0.128036742613243
formyl peptide receptor mediated neutrophil response (M11.2)	0.0439669872615485	0.488915277420699	-0.124431586794658
CD28 costimulation (M12)	0.500858418659966	0.770652804044916	0.036320441488377
innate activation by cytosolic DNA sensing (M13)	0.725066951720454	0.86210709723463	-0.0144028740780583
T cell differentiation (M14)	0.381415671451525	0.690692728737625	0.0844645194171882
Ran mediated mitosis (M15)	0.373502498624614	0.690692728737625	0.0146189105610547
TLR and inflammatory signaling (M16)	0.23067932164223	0.602562903593325	-0.065217384977041
Hox cluster I (M17.0)	0.228196722628287	0.602562903593325	-0.0114572249475024
Hox cluster II (M17.1)	0.396974913951524	0.690692728737625	-0.00963742732750909
Hox cluster III (M17.2)	0.876958478844753	0.945228814165342	0.00181541006363624
Hox cluster IV (M17.3)	0.169542989811523	0.586957402000585	-0.0208858045777435
T cell differentiation via ITK and PKC (M18)	0.322863364826662	0.65440484582479	0.0750973301552267
T cell differentiation (Th2) (M19)	0.638340780933407	0.855613024664889	0.0262038825606576
AP-1 transcription factor network (M20)	0.865184185515222	0.940112865008747	-0.0121071325519345
cell adhesion (lymphocyte homing) (M21)	0.964941222510434	0.985270092514942	0.00218120745507872
mismatch repair (I) (M22.0)	0.116408297820759	0.53650354829081	0.0382697752502744
mismatch repair (II) (M22.1)	0.0820443065295117	0.53650354829081	0.0518526829684754
RA, WNT, CSF receptors network (monocyte) (M23)	0.096409802945048	0.53650354829081	-0.0790097192890086
cell activation (IL15, IL23, TNF) (M24)	0.120630765471357	0.53650354829081	-0.0461494114911103
TLR8-BAFF network (M25)	0.0519527022327568	0.488915277420699	-0.114688068470758
TBA (M26.0)	0.551575300861239	0.807002520387569	-0.00411282436235129
TBA (M26.1)	0.751218354304621	0.869302844780598	-0.00215713707339169
TBA (M26.2)	0.521083792178465	0.784686605740588	0.00700163263177755
chemokine cluster (I) (M27.0)	0.393533129439104	0.690692728737625	0.0177064326392241
chemokine cluster (II) (M27.1)	0.722451843615857	0.86210709723463	0.0166666752753514
antigen presentation (lipids and proteins) (M28)	0.0428519316957827	0.488915277420699	-0.143089870095273
proinflammatory cytokines and chemokines (M29)	0.86946854567283	0.940112865008747	0.019262409495912
cell movement, Adhesion & Platelet activation (M30)	0.383450468899109	0.690692728737625	0.0545629504535515
cell cycle and growth arrest (M31)	0.647559084037593	0.855613024664889	-0.0161976528541888
platelet activation (I) (M32.0)	0.059870046926459	0.505244786257435	-0.105602160359221
platelet activation (II) (M32.1)	0.0781253083764448	0.53650354829081	-0.102276558323759
CORO1A-DEF6 network (I) (M32.2)	0.114345231177945	0.53650354829081	-0.0804461342258171
KLF12 targets network (M32.3)	0.125571047292721	0.53650354829081	-0.111347848588231
CORO1A-DEF6 network (II) (M32.4)	0.119148392259879	0.53650354829081	-0.067080119797147
TBA (M32.5)	0.202959795850364	0.601781871453575	-0.0822409748029771
TBA (M32.6)	0.169765927143301	0.586957402000585	-0.0704861661576211
TBA (M32.7)	0.23215507441381	0.602562903593325	-0.0458397902787092
